Customer_ID,Order_ID,Order_Date,Quantity,Unit_Price,Revenue
1102,50000,2023-05-19,2,887,1774
1435,50001,2023-08-17,3,308,924
1860,50002,2023-10-01,3,366,1098
1270,50003,2023-02-19,1,755,755
1106,50004,2023-04-28,5,1096,5480
1071,50005,2023-07-21,5,653,3265
1700,50006,2023-07-10,1,835,835
1020,50007,2023-12-30,2,1981,3962
1614,50008,2023-11-19,3,1629,4887
1121,50009,2023-06-30,4,1687,6748
1466,50010,2023-03-19,2,520,1040
1214,50011,2023-03-16,5,407,2035
1330,50012,2023-10-22,1,236,236
1458,50013,2023-10-08,3,1542,4626
1087,50014,2023-01-21,1,294,294
1372,50015,2023-06-20,5,1218,6090
1099,50016,2023-01-15,1,1613,1613
1871,50017,2023-07-30,3,1381,4143
1663,50018,2023-02-17,1,1148,1148
1130,50019,2023-03-27,3,1355,4065
1661,50020,2023-05-29,1,1455,1455
1308,50021,2023-07-07,1,705,705
1769,50022,2023-11-02,3,1113,3339
1343,50023,2023-05-31,1,961,961
1491,50024,2023-05-21,2,320,640
1413,50025,2023-03-10,4,396,1584
1805,50026,2023-09-17,2,1326,2652
1385,50027,2023-11-30,4,1110,4440
1191,50028,2023-01-09,2,442,884
1955,50029,2023-05-01,4,692,2768
1276,50030,2023-04-11,1,1328,1328
1160,50031,2023-05-29,3,991,2973
1459,50032,2023-05-26,3,176,528
1313,50033,2023-12-19,5,1673,8365
1021,50034,2023-08-31,4,806,3224
1252,50035,2023-08-29,5,1165,5825
1747,50036,2023-12-03,5,1578,7890
1856,50037,2023-02-12,4,1305,5220
1560,50038,2023-04-05,3,856,2568
1474,50039,2023-08-14,4,1318,5272
1058,50040,2023-01-06,1,689,689
1510,50041,2023-08-02,5,1955,9775
1681,50042,2023-07-25,5,487,2435
1475,50043,2023-03-08,4,1026,4104
1699,50044,2023-04-10,5,736,3680
1975,50045,2023-01-12,3,240,720
1782,50046,2023-08-25,5,1150,5750
1189,50047,2023-11-18,4,1438,5752
1957,50048,2023-09-15,3,1444,4332
1686,50049,2023-12-03,3,547,1641
1957,50050,2023-05-15,5,1916,9580
1562,50051,2023-08-10,4,392,1568
1875,50052,2023-06-05,5,1877,9385
1566,50053,2023-05-22,1,1359,1359
1243,50054,2023-06-07,1,814,814
1831,50055,2023-11-22,3,556,1668
